0 14.000000 0.000000 35.310000
1 13.370279 4.151582 35.310000
2 13.388267 4.093204 -7.885900
3 14.000000 0.000000 -6.120400
4 13.370279 4.151582 -35.251150
5 14.000000 0.000000 -35.251150
6 14.000000 0.000000 -21.480250
7 13.388267 4.093204 -23.540000
8 11.840190 7.470603 35.310000
9 9.503210 10.280515 35.310000
10 9.503210 10.280515 -8.239000
11 11.774546 7.573643 -10.004500
12 9.503210 10.280515 -35.251150
13 11.840190 7.470603 -35.251150
14 11.807480 7.522195 -25.599750
15 9.592562 10.197194 -24.128500
16 6.518603 12.389827 35.310000
17 3.089764 13.654792 35.310000
18 3.446146 13.569233 -3.236750
19 6.518603 12.389827 -2.883650
20 3.089764 13.654792 -35.251150
21 6.518603 12.389827 -35.251150
22 6.192042 12.556218 -18.537750
23 3.089764 13.654792 -18.890850
24 -0.549637 13.989207 35.310000
25 -4.151582 13.370279 35.310000
26 -4.093204 13.388267 23.540000
27 -0.610671 13.986675 19.832450
28 -4.151582 13.370279 -35.251150
29 -0.549637 13.989207 -35.251150
30 -0.549637 13.989207 3.236750
31 -4.093204 13.388267 7.356250
32 -7.470603 11.840190 35.310000
33 -10.280515 9.503210 35.310000
34 -10.197194 9.592562 -9.474850
35 -7.470603 11.840190 -5.943850
36 -10.280515 9.503210 -35.251150
37 -7.470603 11.840190 -35.251150
38 -7.573643 11.774546 -22.304150
39 -10.238952 9.547977 -25.423200
40 -12.389827 6.518603 35.310000
41 -13.654792 3.089764 35.310000
42 -13.627310 3.208805 23.893100
43 -12.418152 6.464481 23.951950
44 -13.654792 3.089764 -35.251150
45 -12.389827 6.518603 -35.251150
46 -12.556218 6.192042 8.533250
47 -13.654792 3.089764 8.180150
48 -13.989207 -0.549637 35.310000
49 -13.370279 -4.151582 35.310000
50 -13.405999 -4.034748 24.246200
51 -13.986675 -0.610671 25.717450
52 -13.370279 -4.151582 -35.251150
53 -13.989207 -0.549637 -35.251150
54 -13.983877 -0.671694 10.122200
55 -13.370279 -4.151582 8.356700
56 -11.840190 -7.470603 35.310000
57 -9.503210 -10.280515 35.310000
58 -9.503210 -10.280515 -5.885000
59 -11.774546 -7.573643 -7.944750
60 -9.503210 -10.280515 -35.251150
61 -11.840190 -7.470603 -35.251150
62 -11.807480 -7.522195 -23.598850
63 -9.547977 -10.238952 -21.892200
64 -6.518603 -12.389827 35.310000
65 -3.089764 -13.654792 35.310000
66 -3.149315 -13.641181 25.423200
67 -6.464481 -12.418152 20.362100
68 -3.089764 -13.654792 -35.251150
69 -6.518603 -12.389827 -35.251150
70 -6.518603 -12.389827 3.295600
71 -3.149315 -13.641181 8.827500
72 0.549637 -13.989207 35.310000
73 4.151582 -13.370279 35.310000
74 4.093204 -13.388267 25.540900
75 0.671694 -13.983877 22.421850
76 4.151582 -13.370279 -35.251150
77 0.549637 -13.989207 -35.251150
78 0.549637 -13.989207 6.061550
79 4.034748 -13.405999 9.592550
80 7.470603 -11.840190 35.310000
81 10.280515 -9.503210 35.310000
82 10.238952 -9.547977 25.540900
83 7.573643 -11.774546 22.421850
84 10.280515 -9.503210 -35.251150
85 7.470603 -11.840190 -35.251150
86 7.470603 -11.840190 6.061550
87 10.197194 -9.592562 9.592550
88 12.389827 -6.518603 35.310000
89 13.654792 -3.089764 35.310000
90 13.627310 -3.208805 23.893100
91 12.418152 -6.464481 23.951950
92 13.654792 -3.089764 -35.251150
93 12.389827 -6.518603 -35.251150
94 12.556218 -6.192042 8.533250
95 13.654792 -3.089764 8.180150
